City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
184,Grand-Lahou,5.1367,-5.0242,81.45,82,16,10.13,CI,2021-02-06 18:05:41,few clouds
185,Altea,38.5989,-0.0514,57.99,88,45,3.33,ES,2021-02-06 18:05:41,scattered clouds
186,Pekan,3.4836,103.3996,75.2,88,20,5.75,MY,2021-02-06 18:05:41,few clouds
187,Natal,-5.795,-35.2094,87.8,62,75,11.5,BR,2021-02-06 18:05:41,broken clouds
188,Mayo,38.8876,-76.5119,48.99,34,75,6.91,US,2021-02-06 18:04:01,broken clouds
189,Raja Sansi,31.7192,74.7978,51.8,82,0,3.53,IN,2021-02-06 18:05:41,mist
190,Harper,4.375,-7.7169,81.66,79,41,8.72,LR,2021-02-06 18:05:41,scattered clouds
191,Isperih,43.7167,26.8333,44.01,79,65,1.99,BG,2021-02-06 18:05:41,broken clouds
192,Sakata,38.9167,139.855,44.83,72,51,15.55,JP,2021-02-06 18:03:35,moderate rain
193,Tilichiki,60.4667,166.1,5.81,90,100,14.79,RU,2021-02-06 18:05:41,overcast clouds
194,Astakos,38.5356,21.0814,53.6,94,0,5.01,GR,2021-02-06 18:05:41,clear sky
195,Arras,50.293,2.7819,45.0,95,100,4.0,FR,2021-02-06 18:05:41,overcast clouds
196,Quelimane,-17.8786,36.8883,86.0,79,40,6.91,MZ,2021-02-06 18:02:30,scattered clouds
197,Ahipara,-35.1667,173.1667,58.39,87,87,4.94,NZ,2021-02-06 18:05:41,overcast clouds
198,Nalut,30.3333,10.85,69.67,21,97,11.56,LY,2021-02-06 18:05:42,overcast clouds
199,Pompeia,-22.1086,-50.1717,81.18,50,0,6.89,BR,2021-02-06 18:05:42,clear sky
200,Srednekolymsk,67.45,153.6833,-20.67,84,5,3.33,RU,2021-02-06 18:05:42,clear sky
201,Hamilton,39.1834,-84.5333,33.01,40,1,3.89,US,2021-02-06 18:00:44,clear sky
