City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
591,Paka,MY,77.0,broken clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
595,Katherine,AU,77.0,light rain,-14.4667,132.2667,Pine Tree Motel
596,Phuket,TH,77.0,few clouds,8.0,98.25,The Surin Phuket
604,Yeppoon,AU,75.2,overcast clouds,-23.1333,150.7333,Villa Mar Colina
609,Caravelas,BR,83.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
617,Cubara,CO,78.75,overcast clouds,7.0008,-72.1085,Hotel Los Amigos
627,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
631,Kalmunai,LK,76.73,broken clouds,7.4167,81.8167,VS Villa
632,Taboao Da Serra,BR,78.8,scattered clouds,-23.6261,-46.7917,Vitara Motel
633,Banjar,ID,77.0,few clouds,-8.19,114.9675,The Hamsa Resort
635,Mogadishu,SO,77.34,clear sky,2.0371,45.3438,Hotel Juba
639,Trincomalee,LK,78.75,broken clouds,8.5711,81.2335,Welcombe Hotel
642,Koubia,GN,89.49,scattered clouds,11.5833,-11.9,Hôtel Mbalou Koubia
643,Cayenne,GF,78.8,mist,4.9333,-52.3333,Hôtel Le Dronmi
644,Chilca,PE,78.8,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
647,Olinda,BR,84.2,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
649,Aden,YE,75.07,clear sky,12.7794,45.0367,Sama Emirate Hotel
654,Nhulunbuy,AU,80.6,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
655,Loanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
659,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
664,Arawa,PG,77.95,overcast clouds,-6.2132,155.5367,Coastline Guest House
670,Nhamunda,BR,90.0,broken clouds,-2.1861,-56.7131,Pousada Da Praia
674,Soto La Marina,MX,79.0,broken clouds,23.7667,-98.2167,Hotel Chicago
676,Lampang,TH,78.01,clear sky,18.3333,99.5,Mrs Luis Guest House
678,Anloga,GH,86.0,few clouds,5.7947,0.8973,Pin Drop Hotel
680,Farafangana,MG,80.49,moderate rain,-22.8167,47.8333,Miarina
686,Ugoofaaru,MV,81.81,scattered clouds,5.6667,73.0,Ungoofaaru Inn
687,Muisne,EC,84.2,light rain,0.6,-80.0333,Quinta Samay
